id,name
1097,Skweeks series
4743,Wingman
8450,Aoki Densetsu Shoot!
7120,Game & Watch: Crystal Screen
8389,Play Action Football
7916,Sokocat
4977,Iron Soldier
8940,California Games
3455,"Warhammer 40,000: Armageddon"
1214,Drakensang
2924,To the Moon
2332,Grey Goo
1014,Foreign Legion
4431,Hydro Thunder
7894,Houkagou Colorful * Step
4958,Zombie Smashers X
3315,Gunslugs
3283,Hello Kitty
7618,Fishhead
8440,The Annual Vanilla Level Design Contest
4305,Air Traffic Controller
1348,Cherry Tree High
40,SWAT
876,Pachinko
538,Starflight
2112,Simple Series
3149,Go Series
3997,Blood Brothers
3976,The Capsule Trilogy
4577,Robocalypse
2959,Garfield
8449,Super Bonk
662,NFL Street
4967,SNK Arcade Classics
8285,Tiger Classic Games
2318,Shellshock
8709,X-Men Legends
1751,Big League Soccer
2184,Joe Montana
3879,Berks
4298,escapeVektor
2351,Tears To Tiara
5461,Mary Skelter
4998,The Lord of the Rings - A Software Adventure
4955,Fantastic Fossils
1202,Superfrog
3223,Josou Gal Bitch Gakuen
8947,Imperial Saga
8922,TrotMania
4380,Janline
8751,Golden Idol Mysteries
8380,Whack Your
4453,Rent A Hero
7704,Labyrinths of the World
5321,Sylvanian Families
3003,PlayLink
4988,Boogie
8441,Specnaz
7725,Kendo Rage
1075,Crash Drive
8143,Milf Toys
7726,Free Rider
8760,For the King
504,Dragon Ball Z: Supersonic Warriors
8204,Terramachi
8790,Star Shift
8135,Capri Saga
4073,Wind-Up Knight
5089,Shadow Man
5438,The Fibo
7895,Flood Runner
2288,Zero Gunner
5364,Ski Challenge
7834,EL-SPIRITS Retro
1754,BMX Simulator
2744,Tiny Troopers
4405,Guardian Sword
1894,Horace
6358,Lazy Galaxy
4767,Twelve Sky
4738,Nintama Rantarou
1205,Hugo's House of Horrors
8637,Men in Black: The Series
5404,Epic 90's Journey
3760,Airwolf
8070,O-chan no Oekaki Logic
7775,Bowman
2750,Knightmare
5466,Guilty Summer Kiss
8144,Zippy the Circle
6015,Hack'n Stalk
8322,Konami Antiques: MSX Collection
2202,King's Valley
4597,Esper Dream
4999,Cluedo
3864,S.M.A.R.T. Adventures
1221,M.A.X.
4138,Wallace & Gromit
5408,Trick Shot
2497,Other Venture
8148,Nekomew
8342,Namco History
2519,Atelier: Iris
3866,Draft Day Sports
1220,Seven Cities of Gold
3233,Conquest of Elysium
497,Eye of the Beholder
3956,Mychess
7640,Supipara
8752,Binary Monsters
7624,GetsuFumaDen
2464,Eon Altar
3388,Super Brawl
27,Warcraft
7833,Game Vision
2652,RPG
1168,Phantom Dust
5324,Boku wa Kimi dake o Mitsumeru
8542,Kinnikuman Muscle Grand Prix
8929,Kuroinu
1030,Nancy Drew
1255,Youda Sushi Chef
2334,Cosmic Balance
1241,Lume
5258,Serious Sam Indie Series
8729,Atari Flashback
8343,Namco Collection
8792,Astro Duel
1712,Fire Brigade
2712,007 Legends
6839,Schlag den Star
8642,Shiki Oni no Koku: Chuugoku-hen
7930,One Piece: Unlimited Cruise
8781,Ninja Stealth
7917,Little Magic
450,Wii Fit
7727,Nakayoshi
8519,Fengse Huanxiang
2328,CellFactor
7641,ef
3070,Ray
1269,Earth and Sky
5347,Arc Style
1080,Sierra Discovery
1101,Near Orbit Vanguard Alliance
5102,Every Extend
5559,FreeStyle Street Basketball
1280,Xenus
1056,Bubsy
5504,Scally
5357,The Surge
4497,Minotaur Project
8565,Cake Shop
5561,Hexagon Dungeon
8726,PacMania
8022,Nintendo Classics Mini
2321,Riptide
8451,Crysmalia
3366,Kingdom of Loathing
8154,Aldo
2905,One Piece Unlimited
3810,Family Party
944,RoboCop
8392,silence channel
5128,Atlantis
3466,Pong-Tron
3700,ShaqDown
8869,Mickey Mania
7673,Chaos Faction
8656,Endless Frontier
3150,Picdun
2086,Half-Minute Hero
7786,Bomberman Max
2513,Tingle
1536,18 Wheels of Steel
8793,Asura
4286,Next Revolution
1354,Sensible World of Soccer
523,Namco
4986,Pinball Hall of Fame
8035,Don't Stop Corocco
7987,Sega Ages
2755,Capcom vs. SNK
7728,Galaxy Fräulein Yuna
8560,Dumb Ways to Draw
866,Silent Scope
5189,Nemesis
2915,The Last Stand
8323,Konami Game Collection
5251,Vertrix
1247,Dark Seed
962,Lips
1158,Over The Hedge
2418,Rise of the Tomb Raider
7787,Bomberman Story
8882,Fun Run
2930,Alpine Racer
7962,touhou rock maiden
2448,Goemon
5710,The Spirit of Eternity Sword
7896,Megami Quest
789,Genghis Khan
2084,Natural Selection
1446,Stay Dead
7845,Hayami-chan
8710,Asphalt: Urban GT
2177,Ori and the Blind Forest
6837,Jigsaw Pieces
8125,After School Girlfriend
1630,Zool
1137,Pure
2252,Fighters Destiny
8761,Bloons Supermonkey
7947,BlockQuest Series
7782,Neoromance
2694,ICUPS
7882,Big Ant Studios Cricket
1152,Little Big Adventure
2292,Ragnarok Odyssey
5156,Shadow of Memories
5195,Riftwar Cycle
279,PlanetSide
5194,Bonkers
1198,Krondor
8883,Red Moon
7844,Tiger Barcodzz
6711,Celtic Kings
5176,Dragon Ball: Origins
2216,Squids
8567,Awkward
790,Air Diver
1678,Midwinter
6564,Bluehills County Stories
4793,Extreme Hangman
4800,Bacta
5181,monster hunter Diary
4877,Electric Crayon
5520,Sakura Maid
6949,The Legend of Banjo-Kazooie
8727,Girls in Motion Puzzle
4436,Robot Unicorn Attack
1846,Home Alone
8659,Real Robot
2025,Order of the Thorne
930,Edna & Harvey
4816,Birdie King
2168,Xenonauts
1049,D4
2127,Miner 2049er
2481,Tetris: The Grand Master
3408,Putty
2322,Cube
2160,N.O.V.A.
8029,Quickie World
1693,Stormlord
78,Syndicate
4621,Snow Bros.
2150,Grotesque Tactics
1452,Pokemon Mystery Dungeon
8870,Chop Chop
3103,Blockman
8452,Hamster Paradise
8543,Kinnikuman Muscle Grand Prix Max
2046,Lucius
8568,Pikmin Card Puzzle e+
4836,Metris
1941,The Clockwork Man
3639,Pingu
3042,Gear Stadium
2251,resogun
4356,Jam Sessions
2072,Death Rally
2751,Redhawk
2498,Rize of the Summonds
5149,SOCOM: U.S. Navy SEALs
678,ATV Quad Power Racing
4074,Space Channel 5
1464,The Sword of Hope
2713,The Parallax Effec
7846,Compati Hero
2203,Viscera Cleanup Detail
875,PaRappa the Rapper
3025,Gintama
617,Kid Icarus
1262,Joint Operations
1103,The Getaway
3682,A-Men
4560,Touch! Generations
2053,Brigade E5
1172,Little Fighter
7755,Trollface Quest
4761,SimTower
1340,Basketball Pro Management
2508,Alice in Videoland
8065,Let's Cook Together
4360,Echelon
5422,Vector
2900,Get Dexter
8853,Kindaichi Case Files
4463,The 4th Unit Series
2047,Back To Life
2337,Eets
2253,Azkend
4839,Nightmare Collection
2349,Biko
2182,WrestleMania
2764,Dead Trigger
7809,Espire
1029,Tearaway
2459,Jupiter Mission 1999
2452,Falcon Patrol
2259,Ninety-Nine Nights
2142,Berzerk
2696,Subsunk
2036,Cruxata
5839,Spa Mania
8414,Laid-Back Camp!
2016,Ragnarok Online
1720,Universe
6006,Maken Shao
3122,Dezaemon
4603,Mario Artist
5109,Motion Gravure Series
4393,Zero One
5567,Faraway
856,Motocross Mania
2224,OverBlood
2477,Pokémon Trozei
8506,Marble Madness
8287,Giga Pets Plus
2541,Forbidden Forest
7918,Saiyuki
771,Spectrobes
2840,Street Sports
6026,SCP-087
2720,Pinball Hall of F
5140,Sega Vintage Collection
1235,R.C. Pro-Am
8871,Leaving Your Room
800,Amped
2113,Phineas and Ferb
1256,Youda Survivor
1180,Drox Operative
802,AquaZone
8541,Kinnikuman: Muscle Grand Prix Max
1012,Westward
3695,Contract Killer
3727,Geronimo Stilton
8415,Control
821,RuneScape
809,Transport Tycoon
4615,Ranma 1/2
4709,Aquanoid
1351,Cobi Treasure
3959,SEGA 3D Classics Collection
1931,Flight Control
8848,Jolly
4357,SimCity
2985,Rogue Islands
1787,Lone Wolf
4422,Wii Play
1718,Space Harrier
2573,The Secret Order
2525,Star Fleet
80,Master of Orion
8570,swapnote
2722,Puzzle Series
7948,Idle Human
3660,Battle-X
6752,Eiyuu*Senki
8324,Detective Grimoire
3009,Zombie Apocalypse
8535,Pocket Card Jockey
188,Red Baron
3787,ALF
1927,Cake Mania
719,Deca Sports
8544,Brain Switch
3596,Pro Mahjong Kiwame
2502,Mugsy
4690,The Adventures of Tintin
2928,Metropolismania
874,1942
7631,Blob Boy
2846,MASK
3840,Prepar3D
7897,Bishoujo Senshi Sailor Moon: Fuwa-fuwa Panic
2714,Shadow block
1821,Campaign
2728,Warhammer Quest
4719,As Seen On TV 09
2637,Test Your Math
3437,Racers' Islands
8849,My Therapist is a Futanari
2991,Thunder Dragon
2515,adventure
623,Putt-Putt
2473,Nauseous Pines
3021,Interactive Fiction
2701,Seiddab
1907,Pacific Storm
1270,Age of Sail
8354,J.League Pocket
8100,Laxius Force
2110,Blair Witch Volume
1258,XIII Century
2575,NecroVisioN
4264,F-1 Grand Prix
4050,Trashmania
2873,Trap Door
2741,Cyborg
1924,CrimeCraft
2768,The Sentinel
2678,rapala
2742,The Inheritance
2401,Duelyst
1889,Space Haste
2156,Sonic the Hedgehog
2980,Citadale
2560,Infiltrator
1352,Commander: Conquest of the Americas
4844,Ayrton Senna Kart Duel
4865,Hinterland
2628,Real War
1439,Silent Storm
8788,Pocket Love
7206,Gujian
8099,Our Life
2132,Sinistar
7591,Search All
7614,Farland story
7632,Technictix
2839,Sonic Drift
2075,Restaurant Empire
4918,Blinx
3016,DragonScales
6362,Sports Illustrated for Kids
8011,Sabrina The Animated Series
8507,Youkai Douchuki
5840,Derby Jockey
7843,Protoganda
8145,Fuga: Melodies of Steel
5027,Pocky & Rocky
8068,K-ON Galge!?
2901,Heavy Barrel
1285,Zeus: Master of Olympus
1918,Armored Fist
8443,Sword of the Necromancer
5086,Lennus
2076,101-in-1 series
5300,Avatar Laser Wars
5314,Animals Memory
7475,3-D Ultra Series
3749,E.T.
4878,Dilbert
3106,Endavalas
4446,AFL Premiership
2730,Eliss
3011,Futurama
4699,Tiger Woods
7669,Tobidase Daisakusen
8879,Paper.io
2675,Jinx series
2989,Global Soccer Manager
931,Combat of Giants
7643,The Legend of Kage
1321,Real Warfare
3133,Heiwa
432,Stardust
141,Crusader
2733,Avalon
1424,Police Simulator
1252,iBomber
1880,Generation Xth
8280,Kitten Adventure
1099,Rallisport Challenge
2981,Beyond Fighting
1133,Rad Racer
1418,Pinball FX2
1444,Skyward Collapse
4472,NewU Fitness
2355,Awkward Dimensions
2788,UMS: Universal Military Simulator
2828,Mean Machines
6363,Dark Fracture
8654,Super Robot Taisen Alpha
2677,Cap'n Marcela
7626,On a Roll
6477,Fitness Boxing
3331,Special Force / Soldier Front
6296,Rose & Camellia
2009,Cyber Knight
1839,The Games
3578,Video Game Anthology
8794,Button Soccer
4261,Yume Nikki
7670,Super Lode Runner
3457,Sister Princess
8172,SD Gundam Gachapon Senshi
4490,Tiger-Heli
3405,Umihara Kawase
2809,Ninja Usagimaru
7633,The Ratchelor
3107,Tennis Champs
3476,Sega Top
762,Scene It?
4820,Nights
8536,Find Mii
6480,Squirrel & Bear
7848,Cactus Arcade
2796,Scuttlers
2800,Metal Gear Online
3258,Assassination Classroom
2695,Adrian Mole
8888,Trapped
1383,Full Spectrum Warrior
8127,Nubla
8925,Rock 'N Racing
3296,Redemption Cemetery
7476,Hiddenverse
3324,Bravoman
3386,Flash Hiders
7597,Mirror
1804,Answer Back
2811,Vermeer
3313,Nanosaur
3715,True Golf Classics
486,Gold Box
8012,Yurivania
1185,Tales of Maj'Eyal
7627,Virtual Virtual Reality
1396,Kingdom Tales
2919,Warfare
6840,Nightmare House
3360,Urban Extreme
2925,Fire and Forget
4439,Berenstain Bears
3288,Hamtaro
8001,Boys Be
8537,Miitopia
519,Atari
8361,J.League Prime Goal
3729,Monaco GP
7557,Hudson Best Collection
3280,Yakuman
1063,Chronicles of a Dark Lord
3404,Chronicles of Inotia
8036,Touhou Daiundoukai
8442,Rakuen
3320,Famimaga Disk
3407,Jett Rocket
1125,Mortimer Beckett
3522,Axis Football
3637,Slam Dunk
76,Lego Indiana Jones
5678,Initial D: Typing
1388,Hidden Mysteries
8334,Absolute Territory
8055,Gourmania
3373,Little Acorns
8407,Madorica Real Estate
3733,Urban Trial Freestyle
2760,Omega Labyrinth
3430,Atsume
2048,Infinity
8655,Super Robot Taisen OG
4692,Silver Star
1274,Transport Giant
5694,Pilot Brothers
1184,Interstate
2821,Rastan
3352,Thomas the Tank Engine
2842,Target of Desire
1223,Sid Meier's Ace Patrol
3707,Virtual Pool
3689,LEGO City
1394,Jewel Quest
1293,Jill of the Jungle
3414,Rainbow Moon
799,Deep-Blue
5573,Aurore: Five Princes
1778,The Famous Five
1055,Boxxle
7656,River City Melee
4807,Tokyo Bus Guide
3014,Symphogear
7847,Piofiore
1762,Codename MAT
8653,Super Robot Wars VXT
1266,Massive Assault
5692,Rally Championship
7672,Money Movers
4419,Spriggan
8505,Mansion of Hidden Souls
3432,Little Kite
7849,Gulman
1219,The Seven Cities of Gold
4236,Blue Breaker
8880,Iron Man
1470,The Lost Cases of Sherlock Holmes
7850,Sonic X
5695,DosQ
2831,Sine Mora
8743,Wind Fantasy
3975,Bean
8738,Police 911
8444,epic battle fantasy
8657,Masou Kishin
1035,Rekoil
5679,"Guns, Gore and Cannoli"
3493,Leading Jockey
3008,Tic-Tac-Toe
5566,Epistory - Typing Chronicles
2493,Necropolis
3800,Pepsi
3168,GOF
2263,City of Heroes
8714,Koewotayorini
2034,IHF Handball Challenge
8049,Saint Seiya: Ougon Densetsu
1132,Battlestrike
2386,Gunmetal Arcadia
5423,Mu Online
1163,Toukiden
1331,Alien Spidy
3468,Computer Space
5288,WMS Slots
2996,Pro Mahjong Tsuwamono
2269,Infinity Blade
3799,Clash
3140,DreamWorks Animation SKG
3805,Red Johnson's Chronicles
2979,Zettai Zetsumei Dangerous Jiisan
4607,This Is Football
1786,Game Over
1842,Castle of the Winds
1108,Skate
1254,Zombie Tycoon
3068,Famicom Wars
4572,King of Colosseum
8658,Super Robot Taisen Compact
2859,Sidewize
3635,Mahjong Taikai
3916,The Ship
8734,Habroxia
4027,Marvel Cinematic Universe
4266,Bastard!!
8945,Edd the Duck
2990,Arthur
5025,Kileak
8170,Konohana
3883,Mystery Dungeon
3628,PlayStation Network Collection
3863,Spike McFang
4580,Rocket Power
7628,Megami Paradise
4780,Digger
8935,Scribble
5011,Spawn
3823,Hamster Monogatari
3495,Manbiki
3735,Yamamura Misa Suspense
3321,Awakening
4510,Motocross Maniacs
4155,Lupin III
8104,Gensokyo Defenders
1233,AFL
1773,Hero of the Kingdom
5409,Super Cat Tales
4774,myNotebook
3693,Dracula
3837,The Last Crown
4701,Anime Freak FX
2977,Power Dolls
3869,Genius
2389,GunWorld
1808,Armalyte
1716,Manhunter
1243,Omerta: City of Gangsters
886,UFC Tapout
8356,J.League Soccer Prime Goal
4875,Dr. Franken
4134,College Lacrosse
3834,Rising Angels
8173,RemiFla Spirits
1741,Tau Ceti
4114,Age of Booty
4506,Chibi Maruko-chan
3035,Penguin Wars
92,Fable
4046,GemCraft
4079,Escape
4096,Mysterious Stars
8222,Tokyo Xtreme Racer Drift
3302,Chomperman
3829,Twin Series
4187,Bundesliga Manager
4098,Zatch Bell
1755,Bored of the Rings
826,Bullet Soul
6844,IRMÃO Grande & Brasileiro
2438,Questprobe
1740,Agent X
4880,Puzzle Boy
2820,Crystal Defenders
3023,International Cricket Captain
1313,Ogre Battle
8178,Moving Out
3300,Prime World
4051,JNKPlat
3940,Boggle
139,Command & Conquer: Generals
2862,Action Force
2391,Rhem
2904,Questron
3645,First Queen
8476,Masakari Densetsu
8561,Haiku
1211,Crime Patrol
7573,Mr.
749,King's Bounty
5278,MotoGP 2
5035,1213
926,Sabreman
2806,Thing on a Spring
2966,Soldam
3485,Ricochet Theory
4275,Narcissu
4212,Archer vs Dragons
3287,AKB48
950,Touch Detective
8223,Timez Attack
3948,Robo Maze
4697,Pop
8071,Doraemon Kart
3841,Reflections of Life
8510,Yuru-i GeGeGe no Kitaro
4906,Söldner
2865,Karnov
2887,The Man Called Merc
4838,Virtua Cop
2889,Captain Blood
4070,DrawRace
3173,Sylvio
7978,Chousoku Shoujo
3918,Cube Life
2926,Silkworm
979,Wrestle Kingdom
28,Star Wars Battlefront
4324,Gamera
8500,Jikkyou Pawafuru Puroyakyu
8432,Myara
8051,Genso Yonbaiken
4175,Crimson Earth
4181,Bumpy
3627,Tall
8225,When in Rome
4600,Airborne Assault
7625,Chimeras
4250,Roadclub
7103,River City Girls
4161,Corp Wars
6364,Microsoft
1109,Stuntman
4829,Ferrari
8003,Giga Pets
484,Dark Sun
4411,Gitaroo Man
2507,Kaiser
2050,World War II: Panzer Claws
3717,Airport Mania
2350,Steins;Gate
3040,Value 1500
4464,Haruhi Suzumiya
3666,Dance:UK
8856,Super Metroid CRE
4397,Bob the Builder
3819,Action Man
3891,Dead Synchronicity
5348,Little Monster Private Eye
868,Shadow Warrior
4359,America Oudan Ultra Quiz
494,Lands of Lore
2058,Civil War
4018,ABC Monday Night Football
2729,Mighty
768,Sengoku Basara
2066,Icy Tower
7034,Game of Puzzles
1655,The Perfect General
4588,GuitarFreaks
3444,Senko no Ronde
42,Hidden & Dangerous
4445,Spot
1278,rFactor
2437,Dark passenger
2978,Ginsei Shogi
655,Peggle
4484,Lunatic Dawn
4798,Prehistoric Isle
5446,Tower Defense
3511,Amaranthine Voyage
5113,Laxius Power
8155,Zombies Ate My Neighbors
3722,Postman Pat
4107,Monty Python
4809,Giant Gram
1138,Star Trek: Elite Force
3018,Passport to...
3996,Horse Life
3734,Starlight
8289,Sports Feel Games
3970,Stonekeep
7820,Gaia's Melody
4779,Player Manager
2364,Artificial Academy
4499,Toy Bot Diaries
2109,Conduit
4238,Bleach DS
4821,Ray's Maze
4226,Cavelon
166,Flight Unlimited
8857,Metroid FreezeFlame
2042,Arena Football
8006,Final Sword
4515,By DS
7223,Hack
5696,Eternal Fury
3928,City of Secrets
5147,StarTropics
4799,4 Travellers
2822,GAG
542,Killer Instinct
4712,Gladiator
2918,Lethal League
8078,Touhou Mystia's Izakaya
4934,Versailles
4143,Sengoku Hime
8346,Ultimotion
1038,Hydrophobia
8344,Super Mario Death Row!
2902,JumpGuy
4366,Rytmik
3846,Jetfighter
4517,NFL Fever
8226,Kiritan Island
1376,Endless Space
8072,Doraemon no Quiz Boy
3978,Bard's Tale
4591,Sega GT
303,Fire Emblem
4961,Mister Mosquito
4429,Adult Swim
3087,Little League World Series
4076,Die Hard
5183,Neera
5313,Pro Sports
7821,Sakura no uta
8129,Affogato
8290,No Limits Games
64,Duke Nukem
7523,Kyouraku - Sanyo - Toyomaru Parlor! Parlor!
4485,Aphelion
5016,Virtua Racing
8345,Zombies Noir
7619,Special Enquiry Detail
5360,Stronghold: Spin-off
4976,Mutant Storm
4364,The Fancy Pants Adventures
1067,Croc
1954,Raven's Cry
2735,Chaos
8219,Janked Up Mario Party
6449,AstralAir
3226,Dave!
4413,Let's Golf
1166,TV Sports
4039,Yahtzee
1002,Temple Run
8846,Maze Wars
3847,Keisan Game
308,Sin and Punishment
5846,3 Days
1686,Kantai Collection
8872,Shameless Clone
4373,Care Bears
4086,Dr. Slump
8802,Helldivers
5571,WENT
8218,Nintendo Classic Mini
8228,Baba is You
3543,Tap Sports
4053,Asteka
4599,Tin Soldiers
14,X-COM
482,Risen
2686,Gravity Force
3363,Monster Jam
2692,Sentinels of the Multiverse
5823,Totally Accurate
1814,Blinky
4381,Mafia Wars
163,Battleground
1659,4D Sports
8227,Marisa no Kagi
606,Extreme-G
8718,Johnny Rocketfingers
2298,A Life In Silk
4849,Furby
4358,Sangokushi Taisen
1039,S.T.A.L.K.E.R.
851,Stryker's Run
2078,Momodora
1974,Amplitude
3539,Science Visual Novel
1154,Extreme Paintbrawl
3999,Distant Worlds
321,Sega Rally
5303,Phase 10
3524,The Shinri Game
5572,Kouenji Joshi Soccer
7694,Gormiti
5709,Will You Ever Return?
3329,Domo
2123,Helious
8625,road trip
1033,Lotus Challenge
7949,Cactu-sama
1458,Stealth Bastard
4016,Kuhga
2458,Super Pipeline
1328,Sins of a Solar Empire
3884,Majikoi
5199,Tony La Russa
4609,War of Genesis
4488,Vasara
8220,Slap-It
1046,HardBall
3316,Mistbound
8229,Millie Meter
5269,NASCAR The Game
8876,Jurassic Camp
1430,F-22
755,Fatal Frame
4394,Daiva
1442,Asghan
8357,J.League Soccer: Prime Goal
7496,Chou Kuukan Night Pro Yakyuu King
2361,Defender
1450,King's Field
1688,Spy vs Spy
4724,Wing Over
2878,World End Economica
3525,Dead End Junction
3392,Mujintou Monogatari
7661,Invader Zim
4747,Yuji Horii Mysteries
4128,"Biff, Chip & Kipper"
221,H.A.W.X
5526,The LEGO Movie
4751,Tritorn
239,It Came from the Desert
160,EF2000
5256,Monmusu Quest!
4818,SAW
3747,Castle of Shikigami
701,Barbarian
175,Heavy Gear
1817,Brad Stallion
4469,Pentium
8574,Devil Came Through Here
4770,Beetlejuice
1432,Remington Super Slam Hunting
748,Myth Makers
1698,Bomb Jack
4375,Heathcliff
2776,Wizball
1386,Ground Pounders
5448,ETERNITY WARRIORS
5433,8-Bit Adventures
8842,A Street Cat's Tale
1911,"Pirates, Vikings and Knights"
4568,Galaxy Angel
